date,realized_pnl,hs_var99,hs_es975,param_var99,param_es975,mc_var99,mc_es975,mc_df
2016-11-18,-392808.6875900058,1351688.4867451559,1385342.1799367953,1262665.7407302547,1268990.2593223006,1336640.964239375,1361312.2884183514,9.718076335800578
2016-11-21,648301.6753441126,1351688.4867451559,1385342.1799367953,1264224.1514415378,1270553.1595484745,1362296.3850303572,1393706.8038927864,9.777479309570587
2016-11-22,256341.70587515307,1351688.4867451559,1385342.1799367953,1265440.1634999102,1271784.5485756649,1374237.5766278913,1392641.7684606593,9.956605071339332
2016-11-23,-569834.1758002923,1351688.4867451559,1385342.1799367953,1264480.4094140118,1270826.6249804005,1326272.2713889694,1384997.994420462,9.977967924927901
2016-11-25,175932.2701421439,1351688.4867451559,1385342.1799367953,1267027.1584668322,1273381.82130902,1353697.7918130048,1391344.0457439793,10.083899883864873
2016-11-28,194139.1829307678,1351688.4867451559,1385342.1799367953,1266664.9676190969,1273020.58273937,1336000.6527609783,1380498.5321121248,10.096115133656827
2016-11-29,176130.95960906133,1351688.4867451559,1385342.1799367953,1262696.3753425432,1269017.59694472,1434357.6073163848,1455123.9551852604,9.7828356012041
2016-11-30,-909720.1694042089,1351688.4867451559,1385342.1799367953,1253623.9047105615,1259919.2605018083,1398687.1861735971,1456836.1329491895,9.509171767520701
2016-12-01,-871626.6319704581,1254272.3536203601,1354552.5337187548,1243137.2411836237,1249389.665721994,1352303.0856548056,1341484.0076063212,9.58100251043352
2016-12-02,329202.59106700186,1254272.3536203601,1354552.5337187548,1237066.874408517,1243239.588279184,1323819.2920563137,1315692.8510761391,10.196156362900503
2016-12-05,309269.6867388615,1254272.3536203601,1354552.5337187548,1233541.721260618,1239711.3223869477,1299327.7368779858,1329313.3209675534,10.128996821807196
2016-12-06,162717.82672887342,1254272.3536203601,1354552.5337187548,1231169.2392307867,1237338.666769119,1316551.5242165371,1339439.6234444615,10.107254865584416
2016-12-07,1075131.2711667216,1254272.3536203601,1354552.5337187548,1223693.6567380426,1229842.8414103792,1273958.4333053138,1314189.855853142,9.835863983895008
2016-12-08,-178597.45526286843,1254272.3536203601,1354552.5337187548,1229320.4383007917,1235516.1488403233,1312369.5007859636,1320180.857220255,10.181797466789774
2016-12-09,-186519.37822149644,1254272.3536203601,1354552.5337187548,1220019.148869098,1226182.5716078852,1260388.7921950263,1312678.7935144454,9.839856206751357
2016-12-12,-87889.826142426,1254272.3536203601,1354552.5337187548,1220887.420045161,1227052.5467491082,1283172.7567990199,1302217.1640607913,9.868675057314771
