Date,SPY,QQQ,TLT,GLD,EEM
2014-02-10,145.84083557128906,79.43638610839844,76.17467498779297,122.91999816894531,29.178192138671875
2014-02-11,147.4368896484375,80.34113311767578,75.73367309570312,124.36000061035156,29.81051254272461
2014-02-12,147.5098114013672,80.49493408203125,75.3424301147461,124.43000030517578,29.818130493164062
2014-02-13,148.2713623046875,81.09204864501953,75.76921844482422,125.48999786376953,29.84859848022461
2014-02-14,149.08969116210938,81.25487518310547,75.81185150146484,127.1500015258789,30.214277267456055
2014-02-18,149.26788330078125,81.65298461914062,75.98260498046875,127.4000015258789,29.932405471801758
2014-02-19,148.27947998046875,81.09204864501953,75.66254425048828,126.2699966430664,29.72671127319336
2014-02-20,149.1544952392578,81.4720458984375,75.47759246826172,127.5999984741211,29.833370208740234
2014-02-21,148.9843292236328,81.36347961425781,75.87592315673828,127.58000183105469,30.0390625
2014-02-24,149.81076049804688,81.79778289794922,75.68387603759766,128.99000549316406,30.0390625
2014-02-25,149.7540740966797,81.7072525024414,76.35967254638672,129.2100067138672,29.69623374938965
2014-02-26,149.7620849609375,81.6348876953125,76.76507568359375,128.11000061035156,29.719085693359375
2014-02-27,150.54798889160156,82.16454315185547,77.18473815917969,128.1999969482422,30.2828426361084
2014-02-28,150.92880249023438,82.07369995117188,77.2274169921875,127.62000274658203,30.0771484375
2014-03-03,149.8674774169922,81.46499633789062,77.74295043945312,130.2899932861328,29.54387092590332
2014-03-04,151.97389221191406,82.50068664550781,76.57353210449219,128.67999267578125,30.04667854309082
2014-03-05,152.1116485595703,82.72782897949219,76.73756408691406,128.88999938964844,30.069538116455078
2014-03-06,152.4600067138672,82.65514373779297,75.98169708251953,130.1699981689453,30.49615478515625
2014-03-07,152.52484130859375,82.24632263183594,75.5040512084961,129.08999633789062,30.107620239257812
2014-03-10,152.44386291503906,82.31900787353516,75.61094665527344,129.1300048828125,29.901927947998047
2014-03-11,151.6903533935547,81.96469116210938,75.81060028076172,129.86000061035156,29.56672477722168
2014-03-12,151.73089599609375,82.27357482910156,76.33826446533203,131.75999450683594,29.627676010131836
2014-03-13,150.0294952392578,81.11071014404297,77.36504364013672,132.2100067138672,29.094385147094727
2014-03-14,149.60818481445312,80.55650329589844,77.3792724609375,133.10000610351562,29.25438117980957
2014-03-17,150.96121215820312,81.26513671875,76.80177307128906,131.63999938964844,29.6124324798584
2014-03-18,152.03872680664062,82.24632263183594,77.07984161376953,130.6199951171875,30.023822784423828
2014-03-19,151.22854614257812,81.80115509033203,76.48087310791016,128.08999633789062,29.38388442993164
2014-03-20,152.1116485595703,82.02830505371094,76.34539794921875,127.86000061035156,29.513391494750977
2014-03-21,151.52171325683594,81.0412368774414,77.17253875732422,128.47000122070312,29.69623374938965
2014-03-24,150.8950653076172,80.33100128173828,77.7215576171875,126.18000030517578,29.985729217529297
2014-03-25,151.61117553710938,80.59505462646484,77.42919158935547,126.41000366210938,30.32855796813965
2014-03-26,150.52076721191406,79.55696105957031,78.03528594970703,125.41000366210938,30.397125244140625
2014-03-27,150.20333862304688,79.11079406738281,78.42745971679688,124.58999633789062,30.79327964782715
